[2026-09-19 16:57:28] Etapa 2 iniciada
[2026-09-19 16:57:28] Configuração: 16 workers para varredura e logs
[2026-09-19 16:57:28] Fase 1/4 iniciada — varredura paralela do disco
[2026-09-19 16:57:28] Fase 1/4 | diretórios visitados=1 | arquivos encontrados=0 | assessments lidos=0
[2026-09-19 17:03:09] Fase 1/4 | diretórios visitados=20,900 | arquivos encontrados=975,237 | assessments lidos=2,216
[2026-09-19 17:03:11] Fase 1/4 | diretórios visitados=21,000 | arquivos encontrados=982,841 | assessments lidos=2,216
[2026-09-19 17:03:13] Fase 1/4 | diretórios visitados=21,100 | arquivos encontrados=990,600 | assessments lidos=2,216
[2026-09-19 17:03:15] Fase 1/4 | diretórios visitados=21,200 | arquivos encontrados=998,240 | assessments lidos=2,216
[2026-09-19 17:03:17] Fase 1/4 | diretórios visitados=21,300 | arquivos encontrados=1,002,702 | assessments lidos=2,216
[2026-09-19 17:03:19] Fase 1/4 | diretórios visitados=21,400 | arquivos encontrados=1,011,236 | assessments lidos=2,216
[2026-09-19 17:03:21] Fase 1/4 | diretórios visitados=21,500 | arquivos encontrados=1,020,399 | assessments lidos=2,216
[2026-09-19 17:03:22] Fase 1/4 | diretórios visitados=21,600 | arquivos encontrados=1,021,025 | assessments lidos=2,216
[2026-09-19 17:03:22] Fase 1/4 | diretórios visitados=21,700 | arquivos encontrados=1,021,325 | assessments lidos=2,216
[2026-09-19 17:03:23] Fase 1/4 | diretórios visitados=21,800 | arquivos encontrados=1,025,221 | assessments lidos=2,216
[2026-09-19 17:03:25] Fase 1/4 | diretórios visitados=21,900 | arquivos encontrados=1,031,750 | assessments lidos=2,216
[2026-09-19 17:03:28] Fase 1/4 | diretórios visitados=22,000 | arquivos encontrados=1,040,776 | assessments lidos=2,216
