questao_id,total_usuarios_responderam,usuarios_analisados,usuarios_com_misconceptions,percentual_com_misconceptions,count_A4,perc_A4,count_A5,perc_A5,count_B4,perc_B4,count_B6,perc_B6,count_B8,perc_B8,count_B9,perc_B9,count_B12,perc_B12,count_C1,perc_C1,count_C2,perc_C2,count_C3,perc_C3,count_C4,perc_C4,count_C8,perc_C8,count_D4,perc_D4,count_E2,perc_E2,count_G4,perc_G4,count_G5,perc_G5,count_H1,perc_H1,modulo,prova,assessment_title
6207,22,22,22,100.0,4,18.18,22,100.0,14,63.64,0,0.0,22,100.0,17,77.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,9.09,3,13.64,0,0.0,22,100.0,3,13.64,0,0.0,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6208,25,25,25,100.0,1,4.0,25,100.0,20,80.0,0,0.0,25,100.0,17,68.0,0,0.0,1,4.0,0,0.0,0,0.0,0,0.0,4,16.0,6,24.0,0,0.0,25,100.0,6,24.0,1,4.0,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6209,17,17,17,100.0,1,5.88,17,100.0,11,64.71,0,0.0,17,100.0,15,88.24,0,0.0,1,5.88,0,0.0,0,0.0,0,0.0,1,5.88,3,17.65,0,0.0,17,100.0,3,17.65,0,0.0,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6210,18,18,18,100.0,1,5.56,18,100.0,8,44.44,0,0.0,18,100.0,11,61.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.11,3,16.67,0,0.0,18,100.0,3,16.67,1,5.56,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6211,16,16,16,100.0,3,18.75,16,100.0,14,87.5,0,0.0,16,100.0,12,75.0,0,0.0,2,12.5,0,0.0,0,0.0,0,0.0,1,6.25,0,0.0,0,0.0,16,100.0,2,12.5,2,12.5,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6212,18,18,18,100.0,6,33.33,18,100.0,11,61.11,0,0.0,18,100.0,13,72.22,0,0.0,2,11.11,0,0.0,0,0.0,0,0.0,0,0.0,4,22.22,0,0.0,18,100.0,3,16.67,0,0.0,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6214,24,24,24,100.0,2,8.33,24,100.0,15,62.5,0,0.0,24,100.0,17,70.83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.33,4,16.67,0,0.0,24,100.0,3,12.5,0,0.0,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6245,27,27,27,100.0,4,14.81,27,100.0,20,74.07,0,0.0,27,100.0,18,66.67,0,0.0,2,7.41,0,0.0,0,0.0,0,0.0,4,14.81,5,18.52,0,0.0,27,100.0,4,14.81,1,3.7,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6246,27,27,27,100.0,6,22.22,27,100.0,17,62.96,0,0.0,27,100.0,22,81.48,0,0.0,2,7.41,0,0.0,0,0.0,0,0.0,3,11.11,4,14.81,0,0.0,27,100.0,4,14.81,1,3.7,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6247,27,27,27,100.0,3,11.11,27,100.0,15,55.56,0,0.0,27,100.0,18,66.67,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,4,14.81,4,14.81,0,0.0,27,100.0,5,18.52,1,3.7,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6248,24,24,24,100.0,3,12.5,24,100.0,13,54.17,0,0.0,24,100.0,18,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,12.5,4,16.67,0,0.0,24,100.0,5,20.83,1,4.17,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6342,18,18,18,100.0,5,27.78,18,100.0,12,66.67,0,0.0,18,100.0,12,66.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.11,0,0.0,18,100.0,3,16.67,0,0.0,introducao a ciencia dos computadores,exam,TP Substitutivo
6344,32,32,32,100.0,4,12.5,32,100.0,15,46.88,0,0.0,32,100.0,24,75.0,0,0.0,2,6.25,0,0.0,0,0.0,0,0.0,3,9.38,4,12.5,0,0.0,32,100.0,6,18.75,2,6.25,introducao a ciencia dos computadores,exam,TP Substitutivo
6346,17,17,17,100.0,3,17.65,17,100.0,13,76.47,0,0.0,17,100.0,13,76.47,0,0.0,1,5.88,0,0.0,0,0.0,0,0.0,1,5.88,3,17.65,0,0.0,17,100.0,4,23.53,2,11.76,introducao a ciencia dos computadores,exam,TP Substitutivo
6347,17,17,17,100.0,4,23.53,17,100.0,9,52.94,0,0.0,17,100.0,11,64.71,0,0.0,1,5.88,0,0.0,0,0.0,0,0.0,5,29.41,4,23.53,0,0.0,17,100.0,2,11.76,1,5.88,introducao a ciencia dos computadores,exam,TP Substitutivo
6350,23,23,23,100.0,3,13.04,23,100.0,18,78.26,0,0.0,23,100.0,15,65.22,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,4,17.39,2,8.7,0,0.0,23,100.0,4,17.39,1,4.35,introducao a ciencia dos computadores,exam,TP Substitutivo
6351,16,16,16,100.0,1,6.25,16,100.0,9,56.25,0,0.0,16,100.0,10,62.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,3,18.75,0,0.0,16,100.0,1,6.25,0,0.0,introducao a ciencia dos computadores,exam,TP Substitutivo
6359,16,16,16,100.0,3,18.75,16,100.0,10,62.5,0,0.0,16,100.0,11,68.75,0,0.0,3,18.75,0,0.0,0,0.0,0,0.0,1,6.25,2,12.5,0,0.0,16,100.0,2,12.5,0,0.0,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6360,18,18,18,100.0,2,11.11,18,100.0,9,50.0,0,0.0,18,100.0,10,55.56,0,0.0,1,5.56,0,0.0,0,0.0,0,0.0,1,5.56,3,16.67,0,0.0,18,100.0,3,16.67,2,11.11,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6361,17,17,17,100.0,2,11.76,17,100.0,12,70.59,0,0.0,17,100.0,11,64.71,0,0.0,1,5.88,0,0.0,0,0.0,0,0.0,1,5.88,2,11.76,0,0.0,17,100.0,3,17.65,1,5.88,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6363,23,23,23,100.0,3,13.04,23,100.0,16,69.57,0,0.0,23,100.0,15,65.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,13.04,2,8.7,0,0.0,23,100.0,1,4.35,0,0.0,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6364,16,16,16,100.0,1,6.25,16,100.0,11,68.75,0,0.0,16,100.0,14,87.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,4,25.0,0,0.0,16,100.0,4,25.0,0,0.0,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6367,20,20,20,100.0,3,15.0,20,100.0,10,50.0,0,0.0,20,100.0,14,70.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,5,25.0,0,0.0,20,100.0,6,30.0,1,5.0,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6371,24,24,24,100.0,0,0.0,24,100.0,16,66.67,0,0.0,24,100.0,18,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.17,3,12.5,0,0.0,24,100.0,4,16.67,1,4.17,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6373,17,17,17,100.0,3,17.65,17,100.0,9,52.94,0,0.0,17,100.0,11,64.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.88,0,0.0,17,100.0,2,11.76,3,17.65,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6374,27,27,27,100.0,1,3.7,27,100.0,19,70.37,0,0.0,27,100.0,19,70.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,11.11,4,14.81,0,0.0,27,100.0,5,18.52,0,0.0,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6377,20,20,20,100.0,4,20.0,20,100.0,15,75.0,0,0.0,20,100.0,16,80.0,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,6,30.0,1,5.0,0,0.0,20,100.0,4,20.0,1,5.0,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6378,16,16,16,100.0,1,6.25,16,100.0,9,56.25,0,0.0,16,100.0,11,68.75,0,0.0,2,12.5,0,0.0,0,0.0,0,0.0,0,0.0,3,18.75,0,0.0,16,100.0,1,6.25,0,0.0,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6380,19,19,19,100.0,4,21.05,19,100.0,14,73.68,0,0.0,19,100.0,12,63.16,0,0.0,1,5.26,0,0.0,0,0.0,0,0.0,1,5.26,2,10.53,0,0.0,19,100.0,4,21.05,0,0.0,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6381,16,16,16,100.0,1,6.25,16,100.0,9,56.25,0,0.0,16,100.0,10,62.5,0,0.0,1,6.25,0,0.0,0,0.0,0,0.0,0,0.0,2,12.5,0,0.0,16,100.0,2,12.5,2,12.5,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6391,24,24,24,100.0,3,12.5,24,100.0,14,58.33,0,0.0,24,100.0,15,62.5,0,0.0,1,4.17,0,0.0,0,0.0,0,0.0,3,12.5,7,29.17,0,0.0,24,100.0,5,20.83,1,4.17,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6393,16,16,16,100.0,5,31.25,16,100.0,8,50.0,0,0.0,16,100.0,11,68.75,0,0.0,3,18.75,0,0.0,0,0.0,0,0.0,1,6.25,1,6.25,0,0.0,16,100.0,2,12.5,0,0.0,introducao a ciencia dos computadores,exam,TP 6: Estrutura de Repetição por Contagem (for)
6469,23,23,23,100.0,3,13.04,23,100.0,18,78.26,0,0.0,22,95.65,15,65.22,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,1,4.35,3,13.04,0,0.0,23,100.0,3,13.04,1,4.35,introducao a ciencia dos computadores,exam,TP 1: Variáveis e Estrutura Sequencial
6470,23,23,23,100.0,3,13.04,23,100.0,12,52.17,0,0.0,23,100.0,13,56.52,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,100.0,3,13.04,3,13.04,introducao a ciencia dos computadores,exam,TP 1: Variáveis e Estrutura Sequencial
6471,23,23,23,100.0,2,8.7,23,100.0,19,82.61,0,0.0,23,100.0,15,65.22,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,1,4.35,3,13.04,0,0.0,23,100.0,4,17.39,2,8.7,introducao a ciencia dos computadores,exam,TP 1: Variáveis e Estrutura Sequencial
6472,22,22,22,100.0,1,4.55,22,100.0,12,54.55,0,0.0,21,95.45,13,59.09,0,0.0,1,4.55,0,0.0,0,0.0,0,0.0,2,9.09,3,13.64,0,0.0,22,100.0,3,13.64,1,4.55,introducao a ciencia dos computadores,exam,TP 1: Variáveis e Estrutura Sequencial
6473,18,18,18,100.0,2,11.11,18,100.0,11,61.11,0,0.0,18,100.0,14,77.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,2,11.11,0,0.0,18,100.0,3,16.67,0,0.0,introducao a ciencia dos computadores,exam,TP 1: Variáveis e Estrutura Sequencial
6475,21,21,21,100.0,1,4.76,21,100.0,13,61.9,0,0.0,19,90.48,16,76.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,19.05,4,19.05,0,0.0,21,100.0,4,19.05,0,0.0,introducao a ciencia dos computadores,exam,TP 1: Variáveis e Estrutura Sequencial
6479,18,18,18,100.0,3,16.67,18,100.0,11,61.11,0,0.0,18,100.0,11,61.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,3,16.67,0,0.0,18,100.0,3,16.67,1,5.56,introducao a ciencia dos computadores,exam,TP 1: Variáveis e Estrutura Sequencial
6480,18,18,18,100.0,3,16.67,18,100.0,14,77.78,0,0.0,18,100.0,12,66.67,0,0.0,2,11.11,0,0.0,0,0.0,0,0.0,1,5.56,2,11.11,0,0.0,18,100.0,2,11.11,0,0.0,introducao a ciencia dos computadores,exam,TP 1: Variáveis e Estrutura Sequencial
6481,17,17,17,100.0,1,5.88,16,94.12,8,47.06,0,0.0,15,88.24,11,64.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.76,2,11.76,0,0.0,17,100.0,2,11.76,1,5.88,introducao a ciencia dos computadores,exam,TP 1: Variáveis e Estrutura Sequencial
6484,18,18,18,100.0,2,11.11,18,100.0,12,66.67,0,0.0,17,94.44,12,66.67,0,0.0,1,5.56,0,0.0,0,0.0,0,0.0,2,11.11,0,0.0,0,0.0,18,100.0,2,11.11,2,11.11,introducao a ciencia dos computadores,exam,TP 1: Variáveis e Estrutura Sequencial
6646,23,23,23,100.0,2,8.7,23,100.0,14,60.87,0,0.0,23,100.0,12,52.17,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,2,8.7,0,0.0,23,100.0,4,17.39,1,4.35,introducao a ciencia dos computadores,exam,TP 5: Vetores e Strings
6647,25,25,25,100.0,4,16.0,25,100.0,15,60.0,0,0.0,25,100.0,19,76.0,0,0.0,3,12.0,0,0.0,0,0.0,0,0.0,1,4.0,5,20.0,0,0.0,25,100.0,5,20.0,2,8.0,introducao a ciencia dos computadores,exam,TP 5: Vetores e Strings
6649,23,23,23,100.0,1,4.35,23,100.0,16,69.57,0,0.0,23,100.0,17,73.91,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,2,8.7,1,4.35,0,0.0,23,100.0,2,8.7,0,0.0,introducao a ciencia dos computadores,exam,TP 5: Vetores e Strings
6654,16,16,16,100.0,3,18.75,16,100.0,12,75.0,0,0.0,16,100.0,14,87.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,18.75,3,18.75,0,0.0,16,100.0,3,18.75,1,6.25,introducao a ciencia dos computadores,exam,TP 5: Vetores e Strings
6655,16,16,16,100.0,2,12.5,16,100.0,11,68.75,0,0.0,16,100.0,12,75.0,0,0.0,1,6.25,0,0.0,0,0.0,0,0.0,2,12.5,5,31.25,0,0.0,16,100.0,5,31.25,1,6.25,introducao a ciencia dos computadores,exam,TP 5: Vetores e Strings
