pc,term,OR,ci_lo,ci_hi,p,beta,se,var_student,var_question,icc_student,icc_question,N,positives,prevalence,n_students,n_questions,max_vif,p_fdr
B11,erros_logica,0.895417152214349,0.5836160567650858,1.3738002359355577,0.6129861072648937,-0.11046557743474489,0.218391006108037,0.3435925415747403,2.7268239311085782,0.054021567089953024,0.4287267158412062,13797,32,0.0023193447850982096,2514,617,3.263054469491074,0.865392151432791
B11,erros_sintaxe,0.924366414152298,0.6348825646355716,1.345844594272709,0.681564781607451,-0.07864673383358506,0.19166760252076567,0.3435925415747403,2.7268239311085782,0.054021567089953024,0.4287267158412062,13797,32,0.0023193447850982096,2514,617,3.263054469491074,0.8963043703330863
B11,tempo,0.8130769946631234,0.38130803350879794,1.7337536614873428,0.592220739379222,-0.20692946953581778,0.3863358541170257,0.3435925415747403,2.7268239311085782,0.054021567089953024,0.4287267158412062,13797,32,0.0023193447850982096,2514,617,3.263054469491074,0.856170899080574
B11,delecoes,1.552179356749975,0.7374665138317618,3.2669425802164502,0.2468880330368931,0.43965998000013756,0.37969111059847915,0.3435925415747403,2.7268239311085782,0.054021567089953024,0.4287267158412062,13797,32,0.0023193447850982096,2514,617,3.263054469491074,0.5925312792885434
C8,(intercept),0.002562297484305699,0.0017815834672910804,0.003685130962773267,3.1430601198064235e-227,-5.966850968155535,0.18540905796227314,0.3897664251066737,0.28343556915773804,0.09834961595979173,0.07151919093179795,13797,47,0.0034065376531129954,2514,617,3.263054469491074,
C8,testes,1.462545710423392,0.8390871558588433,2.5492464521024174,0.17988273575915215,0.38017855462580097,0.2834792101498507,0.3897664251066737,0.28343556915773804,0.09834961595979173,0.07151919093179795,13797,47,0.0034065376531129954,2514,617,3.263054469491074,0.5378889327087236
C8,alteracoes,0.9101584364905861,0.5244438579148782,1.5795558800298561,0.7378593459476617,-0.09413658859232665,0.28126546302535793,0.3897664251066737,0.28343556915773804,0.09834961595979173,0.07151919093179795,13797,47,0.0034065376531129954,2514,617,3.263054469491074,0.9199285352074742
C8,erros_logica,0.6361228787031044,0.4452331436104448,0.9088548833722351,0.012955122629168448,-0.45236352879576974,0.18203759540390008,0.3897664251066737,0.28343556915773804,0.09834961595979173,0.07151919093179795,13797,47,0.0034065376531129954,2514,617,3.263054469491074,0.13818797471113012
C8,erros_sintaxe,0.8197765953818639,0.5934676521734852,1.1323846613621802,0.22793611662722102,-0.19872342049988936,0.1648209946003346,0.3897664251066737,0.28343556915773804,0.09834961595979173,0.07151919093179795,13797,47,0.0034065376531129954,2514,617,3.263054469491074,0.561073517851621
C8,tempo,2.50666097739005,1.4434196840478613,4.353099327251307,0.0011011533782791668,0.9189515796328382,0.2816002555057336,0.3897664251066737,0.28343556915773804,0.09834961595979173,0.07151919093179795,13797,47,0.0034065376531129954,2514,617,3.263054469491074,0.01761845405246667
