question_id,complexity,n_classes,n_functions,loc,lloc,sloc,comments,single_comments,multi_comments,blank_lines,h1,h2,N1,N2,h,N,calculated_N,volume,difficulty,effort,bugs,time,endmarker,name,number,string,newline,indent,dedent,lpar,rpar,lsqb,rsqb,colon,comma,semi,plus,minus,star,slash,vbar,amper,less,greater,equal,dot,percent,lbrace,rbrace,eq_equal,not_eq,less_eq,greater_eq,tilde,circumflex,lshift,rshift,dbl_star,plus_eq,minus_eq,star_eq,slash_eq,percent_eq,amper_eq,vbar_eq,circumflex_eq,lshift_eq,rshift_eq,dbl_star_eq,dbl_slash,dbl_slash_eq,at,at_eq,rarrow,ellipsis,colon_eq,op,error_token,comment,nl,encoding,number_int,number_float,kwd_and,kwd_or,kwd_not,kwd_none,kwd_false,kwd_true,kwd_as,kwd_assert,kwd_async,kwd_await,kwd_break,kwd_class,kwd_continue,kwd_def,kwd_del,kwd_if,kwd_elif,kwd_else,kwd_except,kwd_finally,kwd_for,kwd_while,kwd_import,kwd_from,kwd_global,kwd_in,kwd_is,kwd_lambda,kwd_nonlocal,kwd_pass,kwd_raise,kwd_return,kwd_try,kwd_with,kwd_yield,keyword,identifier,builtin_type,builtin_func,kwd_print,kwd_input,builtin_type_unique,builtin_func_unique,identifiers_unique,identifiers_max_len,identifiers_min_len,identifiers_mean_len
1036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1032,1,0,0,5,3,3,0,0,0,2,2,5,3,6,7,9,13.60964047443681,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624,1,,,1,3,,,5,5,,,,1,,2,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,1,1,3,2,11,5,8.0
1019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
602,2,0,0,6,5,5,0,0,0,1,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052,1,,,2,5,2,2,5,5,,,2,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,2,1,1,2,1,6,6,6.0
1053,2,0,0,8,6,6,0,0,0,2,2,3,2,4,5,6,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609,1,,,3,6,2,2,2,2,,,2,,,1,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,1,1,0,2,2,8,7,7.5
1054,2,0,0,9,7,7,0,0,0,2,3,6,3,6,9,9,20.264662506490406,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734,1,,,4,7,2,2,5,5,,,2,,,1,,1,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,,1,2,1,2,3,8,1,3.3333333333333335
869,2,0,0,9,7,7,0,0,0,2,3,4,3,6,7,9,12.75488750216347,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805,1,,,1,7,2,2,6,6,,,2,2,,,1,1,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,1,2,1,1,1,3,3,10,5,7.666666666666667
1055,2,0,0,17,11,11,0,0,0,6,5,11,6,12,16,18,49.663388279447084,72.0,2.727272727272727,196.36363636363635,0.024,10.909090909090908,1,,,5,11,2,2,11,11,,,2,,,,1,2,1,,,,,7,2,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,3,1,1,3,1,3,9,8,1,3.5555555555555554
1056,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,0,1,4,4,4.0
1081,2,0,0,14,10,10,0,0,0,4,3,10,5,10,13,15,37.974168451037094,55.506595772116384,1.5,83.25989365817458,0.01850219859070546,4.625549647676365,1,,,6,10,2,2,14,14,,,2,1,,3,,,1,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,4,1,3,4,1,3,5,5,5,5.0
1093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1086,2,0,0,13,9,9,0,0,0,4,3,8,4,8,11,12,28.75488750216347,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978,1,,,5,9,2,2,12,12,,,2,1,,2,,,1,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,3,1,3,3,1,3,4,5,5,5.0
1091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1090,2,0,0,16,11,11,0,0,0,5,2,8,4,8,10,12,26.0,39.863137138648355,1.0,39.863137138648355,0.013287712379549451,2.2146187299249087,1,,,7,11,2,2,15,15,,,2,1,,3,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,5,1,3,5,1,3,6,13,6,7.833333333333333
1094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1088,2,0,0,14,11,11,0,0,0,3,3,12,6,12,15,18,47.77443751081735,70.32403072095333,1.5,105.48604608143,0.02344134357365111,5.860335893412778,1,,,7,11,2,2,16,16,,,2,1,,4,,,1,,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,5,1,3,5,1,3,6,5,5,5.0
1096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1087,2,0,0,14,10,10,0,0,0,4,3,10,5,10,13,15,37.974168451037094,55.506595772116384,1.5,83.25989365817458,0.01850219859070546,4.625549647676365,1,,,6,10,2,2,14,14,,,2,1,,3,,,1,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,4,1,3,4,1,3,5,5,5,5.0
1089,2,0,0,13,10,10,0,0,0,3,2,6,3,6,8,9,17.509775004326936,27.0,1.0,27.0,0.009,1.5,1,,,6,10,2,2,13,13,,,2,1,,2,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,4,1,3,4,1,3,5,13,6,8.0
1097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1092,2,0,0,17,12,12,0,0,0,5,6,15,12,24,21,36,74.11313393845472,158.12342722003538,4.8,758.9924506561698,0.05270780907334513,42.1662472586761,1,,,2,12,2,2,6,6,,,2,,,2,2,,,,,,,8,,2,,,1,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,1,,2,1,1,2,7,11,6,9.0
1083,2,0,0,13,9,9,0,0,0,4,3,8,4,8,11,12,28.75488750216347,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978,1,,,5,9,2,2,12,12,,,2,1,,2,,,1,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,3,1,3,3,1,3,4,5,5,5.0
