question,respostas,A2,A3,A4,A5,B4,B6,B8,B9,B10,B11,B12,C1,C2,C3,C4,C8,D4,E1,E2,G4,G5,H1
1205,30,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
1206,17,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
1207,17,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
1208,17,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1210,27,0,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
1211,22,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
1212,24,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1213,17,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1214,18,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1247,24,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
1248,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
1249,21,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,2,0,0,0,21,0,0
1250,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1251,19,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1252,27,1,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
1253,23,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
1254,19,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
1257,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
1258,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
1260,16,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0
1265,19,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
1349,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1350,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
1354,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
1356,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
